DOMAIN	C_thermophilum_DSM_149	N_crassa_OR74A
S09X	14	21
A01A	16	19
C19	13	17
S33	13	15
T01A	13	15
C26	9	12
M38	4	11
S08A	6	6
M28A	7	5
M24B	4	6
C44	4	5
S09C	4	4
C12	3	5
C02A	3	5
M01	3	5
C48	3	5
M67A	3	4
S10	3	4
M16B	3	3
S54	3	3
S53	3	3
T02	3	3
G01	3	2
M16C	2	3
M14A	3	2
S28	2	3
C14B	3	2
M24X	2	3
M18	2	2
T03	2	2
M03A	2	2
M67X	2	2
M80	1	3
M28B	2	2
S08B	1	3
M20F	2	2
M41	2	2
M24A	2	2
C85B	1	3
S16	2	2
S09B	2	1
S26A	1	2
M43B	1	2
C97	1	2
C56	2	1
M79	1	2
M20A	1	2
M20D	1	2
M48A	1	1
M67C	1	1
M12B	1	1
S26B	1	1
M35	0	2
M76	1	1
M28X	1	1
M49	1	1
C85A	1	1
C54	1	1
A22B	1	1
T05	1	1
M48C	1	1
S14	1	1
M19	1	1
S59	1	1
C65	1	1
C13	1	1
A28	1	1
I87	1	1
S12	0	2
C50	1	1
T01X	1	1
S01C	1	1
M04	1	1
I51	0	1
C01B	0	1
M16A	0	1
I32	0	1
M77	0	1
