DOMAIN	C_thermophilum_DSM_149	N_crassa_OR74A
CE10.hmm	22	31
CBM1.hmm	21	20
AA7.hmm	16	18
AA9.hmm	18	14
CE1.hmm	11	17
GH16.hmm	11	15
GT2.hmm	11	11
GH76.hmm	10	10
GH18.hmm	7	13
AA3.hmm	8	9
GH47.hmm	7	9
GH3.hmm	6	10
GH13.hmm	5	10
CBM50.hmm	3	9
GH43.hmm	5	7
GH5.hmm	6	6
AA2.hmm	4	7
GT4.hmm	5	6
CE3.hmm	7	4
GH55.hmm	4	6
GT1.hmm	4	6
CBM18.hmm	5	5
GH31.hmm	4	6
CE4.hmm	5	5
GH2.hmm	4	6
GT90.hmm	3	6
GT15.hmm	4	5
GH71.hmm	2	7
GH10.hmm	5	4
GH7.hmm	4	5
GH72.hmm	3	5
CBM24.hmm	0	7
GH74.hmm	3	4
GH17.hmm	2	5
GT22.hmm	3	4
GT39.hmm	3	4
GT32.hmm	3	4
GH125.hmm	3	3
GH6.hmm	3	3
GT20.hmm	3	3
GT57.hmm	3	3
GT62.hmm	3	3
GH128.hmm	2	4
AA12.hmm	3	3
AA1.hmm	1	5
AA11.hmm	2	4
GH11.hmm	4	2
GH109.hmm	2	4
GT8.hmm	2	4
CE5.hmm	3	3
GH131.hmm	2	3
GT3.hmm	1	4
GH15.hmm	3	2
CBM20.hmm	2	3
GT34.hmm	2	3
GT31.hmm	2	2
CBM48.hmm	2	2
GH30.hmm	2	2
AA8.hmm	2	2
AA4.hmm	1	3
CE12.hmm	2	2
CBM13.hmm	1	3
GH132.hmm	2	2
GH37.hmm	2	2
PL3.hmm	3	1
CE16.hmm	2	2
GH28.hmm	1	2
AA5.hmm	1	2
GH1.hmm	1	2
CBM21.hmm	1	2
GH64.hmm	0	3
GH93.hmm	1	2
GH20.hmm	1	2
CE8.hmm	1	2
GH79.hmm	1	2
GH63.hmm	1	2
GT28.hmm	1	2
GH115.hmm	1	2
GT25.hmm	1	2
CE15.hmm	2	1
GT5.hmm	1	2
GH35.hmm	1	2
GH92.hmm	1	2
GT21.hmm	2	1
GH45.hmm	2	1
GT69.hmm	1	2
GH12.hmm	1	2
CBM43.hmm	1	1
GH75.hmm	1	1
GH78.hmm	0	2
GH26.hmm	1	1
GT66.hmm	1	1
PL1.hmm	1	1
GH81.hmm	1	1
GT48.hmm	1	1
GH135.hmm	1	1
GT71.hmm	1	1
GH94.hmm	1	1
GT59.hmm	1	1
GT55.hmm	1	1
GT17.hmm	0	2
GH105.hmm	0	2
GH67.hmm	1	1
GH32.hmm	0	2
GH38.hmm	1	1
GH62.hmm	2	0
GT50.hmm	1	1
CBM35.hmm	2	0
GH133.hmm	1	1
GT24.hmm	1	1
GT76.hmm	1	1
PL4.hmm	1	1
GT35.hmm	1	1
AA6.hmm	1	1
GT41.hmm	1	1
GT33.hmm	1	1
GH9.hmm	0	1
CBM38.hmm	0	1
GH114.hmm	0	1
GH24.hmm	1	0
GT68.hmm	1	0
CBM52.hmm	0	1
GH25.hmm	0	1
GH53.hmm	0	1
PL20.hmm	0	1
GT58.hmm	0	1
CE2.hmm	0	1
GT77.hmm	0	1
GT23.hmm	1	0
AA13.hmm	0	1
GH51.hmm	0	1
GH121.hmm	0	1
CBM42.hmm	0	1
CBM16.hmm	1	0
GT65.hmm	0	1
GH54.hmm	0	1
CE14.hmm	0	1
CBM32.hmm	0	1
CE9.hmm	0	1
